"Zipcode","City","State","Lat","Long","Location"
"35802","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"35803","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"35804","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"35805","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"35806","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"35807","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"35808","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"35809","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"35810","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"35811","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"35812","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"35813","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"35814","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"35815","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"35816","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"35824","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"35893","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"35894","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"35895","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"35896","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"35897","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"35898","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"35899","HUNTSVILLE","AL",34.7,-86.62,"NA-US-AL-HUNTSVILLE"
"36860","HURTSBORO","AL",32.23,-85.41,"NA-US-AL-HURTSBORO"
"36543","HUXFORD","AL",31.21,-87.46,"NA-US-AL-HUXFORD"
"35981","IDER","AL",34.7,-85.66,"NA-US-AL-IDER"
"36544","IRVINGTON","AL",30.5,-88.23,"NA-US-AL-IRVINGTON"
"36346","JACK","AL",31.57,-85.99,"NA-US-AL-JACK"
"36515","CARLTON","AL",31.34,-87.84,"NA-US-AL-CARLTON"
"36545","JACKSON","AL",31.53,-87.89,"NA-US-AL-JACKSON"
"36861","JACKSONS GAP","AL",32.9,-85.83,"NA-US-AL-JACKSONS GAP"
"36265","JACKSONVILLE","AL",33.81,-85.76,"NA-US-AL-JACKSONVILLE"
"35501","JASPER","AL",33.85,-87.27,"NA-US-AL-JASPER"
"35502","JASPER","AL",33.85,-87.27,"NA-US-AL-JASPER"
"35503","JASPER","AL",33.85,-87.27,"NA-US-AL-JASPER"
"35504","JASPER","AL",33.85,-87.27,"NA-US-AL-JASPER"
